"p1" "p2" "p3" "p4" "p5" "p6" "p7" "p8" "p9" "p10" "p11" "p12" "p13" "p14" "p15" "p16"
"47" 8 7 9 13 15 1 16 3 5 6 4 11 12 2 14 10
"48" 12 8 7 13 15 11 16 1 10 9 2 4 6 3 14 5
"49" 3 2 4 14 13 12 16 6 7 1 5 9 11 8 15 10
"50" 8 5 4 15 16 9 13 10 6 7 11 1 3 12 14 2
"51" 12 8 3 13 14 11 16 1 9 7 10 4 5 2 15 6
"52" 15 16 1 9 11 7 10 8 13 14 5 2 4 6 12 3
"53" 7 14 1 4 6 9 16 5 10 2 15 13 8 3 12 11
"54" 6 8 13 1 2 11 4 10 7 5 12 16 14 9 3 15
"55" 14 11 3 12 4 2 1 15 6 8 10 16 7 5 13 9
"56" 9 12 1 11 14 7 15 6 13 5 10 8 4 2 16 3
"57" 11 10 12 5 6 3 13 4 14 7 16 9 15 1 2 8
"58" 7 5 1 13 14 11 16 3 12 2 6 4 9 8 15 10
"59" 14 5 1 7 9 10 15 11 8 2 13 16 4 3 6 12
"60" 10 12 5 13 14 3 16 2 11 9 4 8 6 1 15 7
"61" 7 5 11 14 15 3 16 2 6 8 1 10 9 4 13 12
"62" 11 10 4 12 14 2 16 13 9 8 3 5 7 1 15 6
"63" 8 7 9 14 15 1 16 2 5 6 4 11 12 3 13 10
"64" 4 3 5 12 14 11 15 10 2 1 13 7 6 9 16 8
"65" 10 12 1 13 14 7 16 6 11 9 8 4 2 5 15 3
"66" 14 10 2 6 11 7 15 12 4 3 16 9 13 8 5 1
"67" 13 12 5 14 15 2 16 1 11 10 4 9 8 3 7 6
"68" 4 8 10 7 6 11 15 1 3 2 9 16 13 5 12 14
"69" 16 15 10 6 7 4 8 1 9 14 2 12 13 3 5 11
"70" 2 4 5 13 14 11 16 10 3 1 12 8 6 9 15 7
"71" 8 10 9 16 15 3 11 1 12 4 5 7 6 2 14 13
"72" 3 10 4 14 15 12 16 11 1 2 9 5 6 7 13 8
"73" 8 6 10 15 14 1 13 2 5 7 4 11 12 3 16 9
"74" 1 5 6 13 16 15 2 7 3 4 10 8 9 11 12 14
"75" 1 5 6 13 16 15 2 7 3 4 10 8 9 11 12 14
"76" 1 9 5 7 8 12 16 4 10 2 11 14 6 3 15 13
"77" 8 3 2 16 15 1 14 7 9 4 6 10 11 5 13 12
"78" 3 11 5 13 14 7 15 1 9 6 10 12 2 4 16 8
"79" 1 5 4 14 15 12 16 11 10 8 7 9 3 2 13 6
"80" 1 8 14 12 6 9 10 16 3 2 11 15 4 5 7 13
"81" 13 12 1 2 11 3 14 10 4 5 15 9 16 6 7 8
"82" 8 13 1 4 6 9 16 5 10 2 15 14 7 3 12 11
"83" 8 7 14 3 2 9 4 11 5 6 12 15 16 10 1 13
"84" 5 6 4 12 11 13 10 14 7 8 15 3 2 16 9 1
"85" 6 13 3 7 8 9 16 2 12 5 15 11 4 1 14 10
"86" 6 8 1 13 14 11 16 10 7 5 12 4 2 9 15 3
"87" 10 11 5 2 1 12 4 8 14 7 16 15 9 6 3 13
