Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
21	8th grade	male	Mexico	reunite with family	waiter	none	contract with employer	never	used interpreter
22	8th grade	male	China	escape persecution	child care provider	5+ years	interviews with employer	never	broken English
23	4th grade	male	Poland	reunite with family	nurse	none	no plans to look for work	once as tourist	fluent English
24	two-year college	female	France	seek better job	doctor	1-2 years	interviews with employer	many times as tourist	fluent English
25	two-year college	female	Iraq	reunite with family	financial analyst	1-2 years	no plans to look for work	many times as tourist	fluent English
26	high school	male	France	reunite with family	child care provider	none	no plans to look for work	many times as tourist	tried English but unable
27	college degree	female	Poland	reunite with family	waiter	5+ years	contract with employer	six months with family	fluent English
28	high school	female	Poland	reunite with family	child care provider	1-2 years	contract with employer	never	tried English but unable
29	4th grade	female	Mexico	seek better job	teacher	none	interviews with employer	never	broken English
30	graduate degree	male	India	reunite with family	doctor	3-5 years	interviews with employer	once w/o authorization	used interpreter
31	college degree	male	Iraq	seek better job	computer programmer	none	interviews with employer	once as tourist	broken English
32	no formal	male	Iraq	reunite with family	waiter	1-2 years	no plans to look for work	once as tourist	tried English but unable
33	two-year college	male	China	reunite with family	computer programmer	1-2 years	interviews with employer	many times as tourist	used interpreter
34	college degree	female	Sudan	escape persecution	construction worker	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
35	two-year college	female	France	reunite with family	financial analyst	none	will look for work	many times as tourist	used interpreter
36	8th grade	male	Somalia	seek better job	nurse	5+ years	no plans to look for work	many times as tourist	fluent English
37	two-year college	male	Iraq	seek better job	computer programmer	3-5 years	no plans to look for work	never	used interpreter
38	graduate degree	female	Iraq	seek better job	nurse	none	contract with employer	never	used interpreter
39	no formal	male	Sudan	seek better job	construction worker	3-5 years	no plans to look for work	once w/o authorization	fluent English
40	high school	female	Somalia	escape persecution	nurse	3-5 years	interviews with employer	six months with family	used interpreter
41	college degree	male	India	seek better job	computer programmer	3-5 years	no plans to look for work	never	used interpreter
42	two-year college	male	India	seek better job	computer programmer	1-2 years	will look for work	once as tourist	broken English
43	graduate degree	female	Germany	seek better job	research scientist	1-2 years	interviews with employer	many times as tourist	broken English
44	two-year college	female	India	seek better job	financial analyst	1-2 years	will look for work	six months with family	used interpreter
45	high school	female	Germany	reunite with family	waiter	none	interviews with employer	six months with family	fluent English
46	high school	male	Poland	reunite with family	waiter	1-2 years	no plans to look for work	never	broken English
47	graduate degree	male	Sudan	escape persecution	gardener	3-5 years	contract with employer	once as tourist	fluent English
48	graduate degree	male	France	seek better job	doctor	1-2 years	no plans to look for work	once w/o authorization	used interpreter
49	4th grade	female	Iraq	escape persecution	construction worker	3-5 years	will look for work	six months with family	used interpreter
50	8th grade	male	France	reunite with family	gardener	none	interviews with employer	once as tourist	tried English but unable
51	graduate degree	male	France	reunite with family	construction worker	none	will look for work	many times as tourist	used interpreter
52	two-year college	female	Sudan	escape persecution	nurse	3-5 years	will look for work	once as tourist	used interpreter
53	college degree	male	India	seek better job	financial analyst	1-2 years	no plans to look for work	never	used interpreter
54	two-year college	male	Iraq	seek better job	gardener	5+ years	no plans to look for work	once w/o authorization	tried English but unable
55	4th grade	female	Germany	reunite with family	teacher	none	will look for work	many times as tourist	used interpreter
56	4th grade	female	Sudan	reunite with family	waiter	1-2 years	interviews with employer	six months with family	fluent English
57	4th grade	male	Mexico	seek better job	gardener	1-2 years	interviews with employer	many times as tourist	used interpreter
58	two-year college	male	France	seek better job	nurse	3-5 years	will look for work	never	broken English
59	two-year college	male	Philippines	reunite with family	research scientist	none	interviews with employer	once w/o authorization	used interpreter
60	4th grade	male	Philippines	seek better job	janitor	5+ years	contract with employer	once w/o authorization	broken English
61	graduate degree	male	Somalia	seek better job	research scientist	none	interviews with employer	many times as tourist	used interpreter
62	graduate degree	male	Germany	reunite with family	doctor	3-5 years	interviews with employer	once w/o authorization	fluent English
63	no formal	female	China	reunite with family	nurse	3-5 years	will look for work	six months with family	tried English but unable
64	4th grade	male	Mexico	seek better job	nurse	5+ years	interviews with employer	many times as tourist	fluent English
65	college degree	male	Sudan	escape persecution	gardener	3-5 years	contract with employer	never	tried English but unable
66	college degree	male	France	seek better job	computer programmer	5+ years	interviews with employer	never	tried English but unable
67	8th grade	male	Somalia	reunite with family	construction worker	none	no plans to look for work	many times as tourist	used interpreter
68	high school	male	Somalia	seek better job	construction worker	none	will look for work	once w/o authorization	fluent English
69	high school	female	China	seek better job	gardener	none	contract with employer	six months with family	fluent English
70	two-year college	female	Mexico	seek better job	doctor	3-5 years	will look for work	many times as tourist	fluent English
71	college degree	female	Sudan	reunite with family	nurse	none	no plans to look for work	once w/o authorization	fluent English
72	4th grade	male	India	seek better job	janitor	5+ years	contract with employer	never	used interpreter
73	college degree	female	China	reunite with family	computer programmer	3-5 years	no plans to look for work	six months with family	used interpreter
74	college degree	female	Somalia	seek better job	waiter	5+ years	contract with employer	never	tried English but unable
75	college degree	male	Mexico	seek better job	doctor	3-5 years	will look for work	many times as tourist	fluent English
76	college degree	male	Somalia	escape persecution	teacher	3-5 years	interviews with employer	once as tourist	fluent English
77	college degree	male	Mexico	reunite with family	child care provider	1-2 years	interviews with employer	once as tourist	used interpreter
78	two-year college	male	Iraq	seek better job	teacher	none	no plans to look for work	six months with family	tried English but unable
79	two-year college	female	Iraq	reunite with family	child care provider	5+ years	contract with employer	six months with family	tried English but unable
80	graduate degree	male	Philippines	reunite with family	construction worker	none	contract with employer	once w/o authorization	tried English but unable
81	college degree	male	Mexico	seek better job	gardener	5+ years	contract with employer	once as tourist	used interpreter
82	college degree	female	Philippines	seek better job	research scientist	3-5 years	will look for work	never	fluent English
83	graduate degree	male	Iraq	seek better job	gardener	none	no plans to look for work	never	fluent English
84	college degree	male	Sudan	escape persecution	computer programmer	5+ years	contract with employer	six months with family	fluent English
85	high school	female	Mexico	reunite with family	janitor	5+ years	will look for work	six months with family	broken English
86	high school	female	France	seek better job	teacher	none	interviews with employer	never	used interpreter
87	8th grade	female	Poland	seek better job	child care provider	3-5 years	will look for work	six months with family	tried English but unable
88	graduate degree	male	Sudan	seek better job	waiter	1-2 years	contract with employer	many times as tourist	fluent English
89	two-year college	female	Poland	seek better job	gardener	3-5 years	contract with employer	never	broken English
90	two-year college	male	Somalia	seek better job	research scientist	none	interviews with employer	six months with family	broken English
91	no formal	male	China	reunite with family	construction worker	1-2 years	will look for work	once w/o authorization	fluent English
92	college degree	female	China	reunite with family	nurse	5+ years	no plans to look for work	never	tried English but unable
93	high school	female	Somalia	seek better job	teacher	3-5 years	interviews with employer	many times as tourist	fluent English
94	high school	male	France	seek better job	teacher	1-2 years	no plans to look for work	six months with family	fluent English
95	graduate degree	female	France	reunite with family	nurse	none	no plans to look for work	once as tourist	broken English
96	high school	female	Somalia	seek better job	waiter	3-5 years	contract with employer	once as tourist	used interpreter
97	college degree	female	Germany	seek better job	computer programmer	none	contract with employer	never	fluent English
98	two-year college	female	Philippines	seek better job	teacher	1-2 years	interviews with employer	never	broken English
99	two-year college	female	Iraq	seek better job	doctor	5+ years	interviews with employer	many times as tourist	fluent English
100	high school	male	Poland	seek better job	child care provider	none	contract with employer	once as tourist	used interpreter
101	high school	male	Poland	seek better job	gardener	5+ years	contract with employer	many times as tourist	tried English but unable
102	college degree	male	Philippines	reunite with family	waiter	none	no plans to look for work	never	fluent English
103	4th grade	female	Sudan	escape persecution	waiter	3-5 years	will look for work	many times as tourist	fluent English
104	two-year college	male	Somalia	seek better job	construction worker	none	no plans to look for work	once as tourist	broken English
105	8th grade	male	Germany	seek better job	janitor	none	will look for work	once w/o authorization	broken English
106	high school	female	Germany	reunite with family	construction worker	3-5 years	interviews with employer	six months with family	fluent English
107	no formal	male	Somalia	escape persecution	construction worker	1-2 years	no plans to look for work	many times as tourist	tried English but unable
108	no formal	male	Mexico	reunite with family	teacher	5+ years	no plans to look for work	once w/o authorization	tried English but unable
109	high school	male	China	seek better job	teacher	5+ years	no plans to look for work	once w/o authorization	used interpreter
110	graduate degree	male	France	seek better job	waiter	none	interviews with employer	six months with family	fluent English
111	high school	male	China	reunite with family	nurse	1-2 years	no plans to look for work	six months with family	used interpreter
112	no formal	female	Mexico	seek better job	janitor	1-2 years	no plans to look for work	never	used interpreter
113	no formal	male	Iraq	seek better job	janitor	3-5 years	interviews with employer	never	fluent English
114	high school	male	Germany	seek better job	construction worker	3-5 years	no plans to look for work	six months with family	broken English
115	high school	male	France	seek better job	waiter	none	no plans to look for work	once w/o authorization	fluent English
116	8th grade	male	Germany	seek better job	teacher	3-5 years	no plans to look for work	six months with family	tried English but unable
117	two-year college	female	Germany	reunite with family	nurse	1-2 years	contract with employer	six months with family	used interpreter
118	two-year college	male	France	reunite with family	teacher	1-2 years	interviews with employer	many times as tourist	fluent English
119	high school	male	Poland	reunite with family	waiter	3-5 years	will look for work	once w/o authorization	tried English but unable
120	graduate degree	female	Sudan	escape persecution	financial analyst	5+ years	contract with employer	six months with family	used interpreter
121	graduate degree	male	Poland	reunite with family	construction worker	1-2 years	interviews with employer	once as tourist	used interpreter
122	college degree	male	France	reunite with family	nurse	none	interviews with employer	once w/o authorization	fluent English
123	graduate degree	female	India	reunite with family	financial analyst	none	will look for work	many times as tourist	broken English
124	college degree	male	India	reunite with family	nurse	none	will look for work	six months with family	fluent English
125	no formal	female	Sudan	seek better job	teacher	1-2 years	contract with employer	many times as tourist	broken English
126	no formal	male	Sudan	reunite with family	teacher	none	no plans to look for work	six months with family	fluent English
127	8th grade	female	India	reunite with family	nurse	1-2 years	will look for work	many times as tourist	fluent English
128	graduate degree	male	China	reunite with family	child care provider	1-2 years	no plans to look for work	once as tourist	fluent English
129	no formal	female	Germany	reunite with family	waiter	5+ years	will look for work	once as tourist	used interpreter
130	8th grade	male	Philippines	reunite with family	teacher	1-2 years	no plans to look for work	once as tourist	used interpreter
131	8th grade	female	Philippines	reunite with family	construction worker	1-2 years	will look for work	six months with family	tried English but unable
132	high school	female	Iraq	reunite with family	child care provider	5+ years	will look for work	once w/o authorization	broken English
133	graduate degree	female	India	reunite with family	computer programmer	5+ years	will look for work	many times as tourist	used interpreter
134	graduate degree	female	Somalia	escape persecution	teacher	5+ years	will look for work	six months with family	used interpreter
135	high school	female	Poland	seek better job	child care provider	3-5 years	will look for work	many times as tourist	fluent English
136	two-year college	female	Sudan	escape persecution	nurse	5+ years	no plans to look for work	once as tourist	used interpreter
137	two-year college	female	Poland	seek better job	doctor	3-5 years	interviews with employer	once w/o authorization	fluent English
138	no formal	male	Poland	seek better job	construction worker	none	contract with employer	never	broken English
139	two-year college	female	Philippines	reunite with family	janitor	1-2 years	contract with employer	never	used interpreter
140	high school	female	Philippines	seek better job	child care provider	none	contract with employer	once w/o authorization	tried English but unable
141	high school	female	India	reunite with family	child care provider	none	contract with employer	once as tourist	fluent English
142	4th grade	female	Sudan	seek better job	janitor	3-5 years	will look for work	never	tried English but unable
143	high school	female	Poland	reunite with family	teacher	none	will look for work	once as tourist	fluent English
144	high school	female	Mexico	seek better job	nurse	1-2 years	interviews with employer	many times as tourist	used interpreter
145	no formal	male	Iraq	reunite with family	construction worker	none	will look for work	many times as tourist	tried English but unable
146	8th grade	female	Philippines	reunite with family	nurse	5+ years	no plans to look for work	many times as tourist	broken English
147	4th grade	female	Poland	reunite with family	nurse	3-5 years	contract with employer	six months with family	tried English but unable
148	two-year college	female	France	seek better job	research scientist	none	will look for work	once w/o authorization	fluent English
149	high school	female	Poland	reunite with family	janitor	3-5 years	interviews with employer	once w/o authorization	broken English
150	high school	female	Iraq	escape persecution	teacher	none	will look for work	many times as tourist	fluent English
151	no formal	female	Philippines	reunite with family	teacher	1-2 years	contract with employer	once as tourist	fluent English
152	college degree	male	Philippines	reunite with family	gardener	1-2 years	contract with employer	once as tourist	broken English
153	4th grade	female	France	reunite with family	nurse	3-5 years	no plans to look for work	once w/o authorization	broken English
154	college degree	male	Philippines	seek better job	computer programmer	none	interviews with employer	once as tourist	used interpreter
155	8th grade	female	Somalia	seek better job	construction worker	1-2 years	contract with employer	once as tourist	used interpreter
156	no formal	male	Philippines	seek better job	janitor	none	will look for work	once w/o authorization	fluent English
157	college degree	male	Iraq	seek better job	financial analyst	5+ years	no plans to look for work	once as tourist	fluent English
158	two-year college	female	India	seek better job	gardener	5+ years	contract with employer	many times as tourist	fluent English
159	no formal	female	Iraq	seek better job	nurse	5+ years	interviews with employer	once w/o authorization	fluent English
160	graduate degree	female	China	seek better job	janitor	1-2 years	will look for work	once w/o authorization	fluent English
161	8th grade	female	Sudan	reunite with family	child care provider	1-2 years	no plans to look for work	six months with family	broken English
162	college degree	female	Mexico	reunite with family	child care provider	1-2 years	interviews with employer	once w/o authorization	used interpreter
163	two-year college	male	Somalia	escape persecution	gardener	none	no plans to look for work	never	used interpreter
164	graduate degree	male	Iraq	escape persecution	gardener	none	interviews with employer	six months with family	broken English
165	two-year college	female	Somalia	seek better job	janitor	none	interviews with employer	never	used interpreter
166	8th grade	female	China	seek better job	child care provider	3-5 years	no plans to look for work	never	tried English but unable
167	no formal	male	China	seek better job	gardener	1-2 years	interviews with employer	once as tourist	used interpreter
168	no formal	female	Mexico	seek better job	child care provider	5+ years	will look for work	six months with family	fluent English
169	two-year college	male	Poland	reunite with family	computer programmer	1-2 years	no plans to look for work	once w/o authorization	fluent English
170	8th grade	female	Poland	reunite with family	waiter	5+ years	no plans to look for work	never	broken English
171	graduate degree	male	Iraq	seek better job	child care provider	none	interviews with employer	once w/o authorization	tried English but unable
172	high school	male	Mexico	reunite with family	construction worker	none	interviews with employer	many times as tourist	used interpreter
173	graduate degree	female	India	seek better job	financial analyst	5+ years	contract with employer	many times as tourist	tried English but unable
174	college degree	female	Somalia	escape persecution	doctor	3-5 years	interviews with employer	once as tourist	tried English but unable
175	4th grade	female	Philippines	seek better job	nurse	none	no plans to look for work	six months with family	fluent English
176	two-year college	male	Mexico	reunite with family	child care provider	5+ years	interviews with employer	once w/o authorization	tried English but unable
177	college degree	male	France	reunite with family	research scientist	none	will look for work	never	fluent English
178	high school	male	Mexico	reunite with family	nurse	1-2 years	interviews with employer	once w/o authorization	used interpreter
179	8th grade	female	Iraq	reunite with family	child care provider	none	no plans to look for work	six months with family	tried English but unable
180	graduate degree	female	Sudan	escape persecution	gardener	3-5 years	no plans to look for work	six months with family	broken English
181	4th grade	male	India	seek better job	nurse	1-2 years	contract with employer	once w/o authorization	broken English
182	two-year college	male	Somalia	escape persecution	teacher	1-2 years	contract with employer	once as tourist	tried English but unable
183	4th grade	female	Mexico	reunite with family	waiter	5+ years	no plans to look for work	six months with family	fluent English
184	college degree	female	China	escape persecution	child care provider	3-5 years	will look for work	six months with family	broken English
185	no formal	male	Mexico	seek better job	waiter	1-2 years	will look for work	once as tourist	fluent English
186	4th grade	female	Sudan	escape persecution	waiter	5+ years	contract with employer	once as tourist	fluent English
187	high school	female	Mexico	seek better job	janitor	1-2 years	will look for work	never	used interpreter
188	8th grade	female	Iraq	seek better job	child care provider	3-5 years	contract with employer	six months with family	used interpreter
189	graduate degree	female	Sudan	escape persecution	research scientist	none	contract with employer	never	used interpreter
190	graduate degree	female	China	escape persecution	computer programmer	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
191	high school	female	Germany	reunite with family	gardener	3-5 years	contract with employer	many times as tourist	used interpreter
192	no formal	male	Sudan	reunite with family	child care provider	5+ years	contract with employer	once w/o authorization	tried English but unable
193	8th grade	male	Germany	seek better job	waiter	5+ years	interviews with employer	once as tourist	tried English but unable
194	4th grade	male	Sudan	reunite with family	waiter	3-5 years	will look for work	many times as tourist	fluent English
195	8th grade	female	France	seek better job	construction worker	5+ years	interviews with employer	never	fluent English
196	graduate degree	female	France	reunite with family	waiter	3-5 years	contract with employer	many times as tourist	broken English
197	two-year college	male	Somalia	escape persecution	teacher	none	no plans to look for work	once w/o authorization	used interpreter
198	8th grade	male	China	seek better job	waiter	1-2 years	no plans to look for work	never	used interpreter
199	4th grade	male	India	seek better job	child care provider	1-2 years	will look for work	once as tourist	fluent English
200	8th grade	female	France	seek better job	waiter	none	no plans to look for work	many times as tourist	fluent English
201	4th grade	female	Poland	seek better job	construction worker	5+ years	interviews with employer	six months with family	used interpreter
202	two-year college	female	Sudan	reunite with family	computer programmer	3-5 years	will look for work	never	broken English
203	graduate degree	female	Somalia	escape persecution	financial analyst	1-2 years	interviews with employer	once as tourist	broken English
204	high school	male	India	seek better job	child care provider	5+ years	no plans to look for work	once as tourist	tried English but unable
205	8th grade	male	Somalia	seek better job	teacher	5+ years	will look for work	six months with family	used interpreter
206	graduate degree	female	Germany	reunite with family	doctor	3-5 years	interviews with employer	never	broken English
207	two-year college	female	France	seek better job	computer programmer	3-5 years	no plans to look for work	never	used interpreter
208	graduate degree	male	Iraq	reunite with family	construction worker	3-5 years	no plans to look for work	once as tourist	used interpreter
209	graduate degree	female	Germany	reunite with family	research scientist	none	contract with employer	six months with family	broken English
210	4th grade	female	France	seek better job	child care provider	3-5 years	contract with employer	never	fluent English
211	college degree	male	France	reunite with family	janitor	3-5 years	interviews with employer	many times as tourist	broken English
212	two-year college	male	India	reunite with family	financial analyst	3-5 years	no plans to look for work	once w/o authorization	fluent English
213	high school	male	Somalia	seek better job	nurse	none	interviews with employer	many times as tourist	fluent English
214	graduate degree	male	Philippines	seek better job	financial analyst	3-5 years	contract with employer	once w/o authorization	tried English but unable
215	two-year college	male	China	escape persecution	financial analyst	5+ years	contract with employer	many times as tourist	used interpreter
216	4th grade	female	China	seek better job	nurse	1-2 years	no plans to look for work	many times as tourist	tried English but unable
217	no formal	female	France	seek better job	nurse	none	no plans to look for work	many times as tourist	tried English but unable
218	4th grade	male	China	escape persecution	child care provider	5+ years	contract with employer	six months with family	broken English
219	no formal	female	Mexico	reunite with family	waiter	1-2 years	will look for work	many times as tourist	fluent English
220	high school	female	India	reunite with family	construction worker	5+ years	will look for work	once w/o authorization	broken English
221	two-year college	female	Philippines	seek better job	waiter	3-5 years	interviews with employer	six months with family	used interpreter
222	two-year college	female	China	escape persecution	janitor	3-5 years	will look for work	once as tourist	used interpreter
223	graduate degree	male	China	seek better job	financial analyst	3-5 years	no plans to look for work	many times as tourist	tried English but unable
224	8th grade	male	Philippines	reunite with family	teacher	3-5 years	interviews with employer	once as tourist	fluent English
225	graduate degree	female	Germany	seek better job	janitor	none	interviews with employer	once as tourist	broken English
226	8th grade	male	Sudan	reunite with family	waiter	1-2 years	will look for work	many times as tourist	tried English but unable
227	two-year college	female	Germany	seek better job	gardener	3-5 years	interviews with employer	once w/o authorization	fluent English
228	4th grade	male	India	reunite with family	gardener	1-2 years	no plans to look for work	once as tourist	used interpreter
229	two-year college	male	India	seek better job	janitor	5+ years	interviews with employer	never	tried English but unable
230	college degree	female	Germany	seek better job	waiter	3-5 years	no plans to look for work	six months with family	fluent English
231	high school	male	Iraq	escape persecution	teacher	none	contract with employer	never	fluent English
232	4th grade	male	Somalia	seek better job	teacher	3-5 years	interviews with employer	once w/o authorization	broken English
233	no formal	male	Mexico	reunite with family	nurse	5+ years	will look for work	six months with family	used interpreter
234	4th grade	male	Philippines	reunite with family	teacher	1-2 years	will look for work	six months with family	broken English
235	4th grade	male	Somalia	escape persecution	janitor	5+ years	no plans to look for work	many times as tourist	used interpreter
236	4th grade	female	Germany	seek better job	child care provider	1-2 years	will look for work	six months with family	broken English
237	4th grade	male	France	seek better job	janitor	1-2 years	will look for work	six months with family	broken English
238	graduate degree	female	Sudan	reunite with family	financial analyst	3-5 years	interviews with employer	once w/o authorization	used interpreter
239	no formal	male	Germany	reunite with family	teacher	1-2 years	interviews with employer	once as tourist	broken English
240	4th grade	female	Iraq	reunite with family	waiter	none	contract with employer	many times as tourist	tried English but unable
241	4th grade	female	Somalia	seek better job	janitor	none	no plans to look for work	never	broken English
242	8th grade	female	Sudan	seek better job	construction worker	5+ years	will look for work	once w/o authorization	tried English but unable
243	4th grade	female	Iraq	seek better job	nurse	5+ years	interviews with employer	never	broken English
244	two-year college	male	Iraq	escape persecution	child care provider	none	interviews with employer	once w/o authorization	used interpreter
245	high school	male	Philippines	reunite with family	gardener	5+ years	will look for work	once as tourist	broken English
246	college degree	male	France	reunite with family	construction worker	5+ years	interviews with employer	once as tourist	broken English
247	graduate degree	male	Mexico	reunite with family	waiter	3-5 years	will look for work	never	broken English
248	8th grade	male	Germany	seek better job	janitor	1-2 years	will look for work	once as tourist	broken English
249	college degree	female	Somalia	reunite with family	doctor	1-2 years	will look for work	once w/o authorization	fluent English
250	college degree	male	Mexico	seek better job	waiter	5+ years	no plans to look for work	six months with family	fluent English
251	two-year college	male	Somalia	reunite with family	doctor	none	interviews with employer	once as tourist	fluent English
252	no formal	female	Iraq	reunite with family	gardener	1-2 years	will look for work	once w/o authorization	tried English but unable
253	no formal	female	Poland	seek better job	janitor	1-2 years	interviews with employer	many times as tourist	used interpreter
254	8th grade	female	India	reunite with family	waiter	none	no plans to look for work	six months with family	broken English
255	no formal	male	France	seek better job	construction worker	1-2 years	interviews with employer	once as tourist	tried English but unable
256	8th grade	female	France	seek better job	waiter	5+ years	interviews with employer	many times as tourist	broken English
257	no formal	female	Sudan	escape persecution	teacher	none	contract with employer	once w/o authorization	tried English but unable
258	8th grade	female	Poland	reunite with family	gardener	none	will look for work	many times as tourist	tried English but unable
259	no formal	male	Poland	seek better job	nurse	3-5 years	interviews with employer	once w/o authorization	fluent English
260	graduate degree	female	Germany	reunite with family	gardener	3-5 years	will look for work	once as tourist	fluent English
261	two-year college	male	France	reunite with family	waiter	none	no plans to look for work	once as tourist	fluent English
262	4th grade	female	Somalia	escape persecution	waiter	none	contract with employer	once as tourist	broken English
263	8th grade	female	Iraq	seek better job	gardener	3-5 years	contract with employer	six months with family	fluent English
264	college degree	male	Philippines	seek better job	gardener	5+ years	contract with employer	once as tourist	fluent English
265	high school	female	Somalia	reunite with family	teacher	1-2 years	will look for work	once w/o authorization	broken English
266	high school	female	Germany	seek better job	construction worker	3-5 years	interviews with employer	many times as tourist	broken English
267	4th grade	female	Germany	reunite with family	child care provider	1-2 years	will look for work	six months with family	tried English but unable
268	high school	female	Poland	seek better job	teacher	5+ years	no plans to look for work	once as tourist	broken English
269	graduate degree	male	Iraq	escape persecution	nurse	3-5 years	no plans to look for work	once w/o authorization	fluent English
270	no formal	female	Germany	seek better job	nurse	3-5 years	will look for work	never	used interpreter
271	8th grade	male	Iraq	reunite with family	construction worker	3-5 years	will look for work	never	broken English
272	college degree	female	China	reunite with family	research scientist	3-5 years	will look for work	never	fluent English
273	college degree	female	Germany	seek better job	financial analyst	3-5 years	contract with employer	six months with family	broken English
274	graduate degree	female	India	reunite with family	nurse	3-5 years	interviews with employer	never	broken English
275	no formal	male	Iraq	escape persecution	child care provider	5+ years	interviews with employer	once w/o authorization	fluent English
276	4th grade	male	France	seek better job	child care provider	1-2 years	contract with employer	six months with family	used interpreter
277	two-year college	male	Germany	seek better job	teacher	3-5 years	will look for work	six months with family	broken English
278	graduate degree	male	Philippines	seek better job	research scientist	3-5 years	no plans to look for work	many times as tourist	fluent English
279	two-year college	female	Somalia	reunite with family	computer programmer	none	contract with employer	once as tourist	fluent English
280	no formal	female	Poland	seek better job	janitor	3-5 years	interviews with employer	six months with family	used interpreter
281	high school	female	Somalia	reunite with family	janitor	3-5 years	will look for work	once as tourist	broken English
282	no formal	male	Iraq	seek better job	waiter	1-2 years	interviews with employer	once w/o authorization	broken English
283	no formal	male	Philippines	seek better job	nurse	none	contract with employer	six months with family	used interpreter
284	high school	male	Philippines	seek better job	nurse	5+ years	interviews with employer	once as tourist	used interpreter
285	college degree	female	Poland	reunite with family	teacher	5+ years	no plans to look for work	six months with family	fluent English
286	4th grade	female	France	reunite with family	gardener	1-2 years	contract with employer	many times as tourist	tried English but unable
287	8th grade	male	Somalia	seek better job	child care provider	3-5 years	contract with employer	six months with family	broken English
288	8th grade	female	Germany	reunite with family	teacher	5+ years	no plans to look for work	once w/o authorization	broken English
289	college degree	female	Iraq	seek better job	nurse	none	interviews with employer	six months with family	used interpreter
290	graduate degree	female	Mexico	reunite with family	janitor	1-2 years	no plans to look for work	many times as tourist	tried English but unable
291	graduate degree	male	Poland	reunite with family	child care provider	1-2 years	contract with employer	once as tourist	used interpreter
292	8th grade	female	Poland	reunite with family	waiter	1-2 years	interviews with employer	once as tourist	used interpreter
293	graduate degree	female	Somalia	reunite with family	nurse	1-2 years	no plans to look for work	once as tourist	tried English but unable
294	graduate degree	male	Iraq	escape persecution	construction worker	none	contract with employer	many times as tourist	tried English but unable
295	4th grade	female	Philippines	seek better job	waiter	3-5 years	contract with employer	many times as tourist	tried English but unable
296	8th grade	male	Philippines	reunite with family	nurse	none	no plans to look for work	six months with family	tried English but unable
297	two-year college	male	China	seek better job	gardener	3-5 years	interviews with employer	many times as tourist	broken English
298	college degree	male	Mexico	reunite with family	doctor	none	contract with employer	many times as tourist	used interpreter
299	4th grade	female	Iraq	escape persecution	construction worker	none	interviews with employer	six months with family	broken English
300	two-year college	male	Germany	seek better job	doctor	none	interviews with employer	once as tourist	broken English
301	college degree	female	Germany	reunite with family	janitor	3-5 years	contract with employer	never	tried English but unable
302	two-year college	male	Sudan	reunite with family	financial analyst	none	no plans to look for work	once w/o authorization	used interpreter
303	8th grade	female	France	seek better job	waiter	5+ years	will look for work	six months with family	used interpreter
304	college degree	female	Sudan	reunite with family	janitor	none	will look for work	six months with family	tried English but unable
305	4th grade	male	Sudan	seek better job	construction worker	1-2 years	contract with employer	once as tourist	used interpreter
306	two-year college	male	India	seek better job	teacher	5+ years	contract with employer	once w/o authorization	fluent English
307	college degree	male	China	seek better job	gardener	5+ years	will look for work	six months with family	tried English but unable
308	college degree	male	Germany	seek better job	computer programmer	3-5 years	contract with employer	once w/o authorization	fluent English
