Comparisons	Profile1	Profile2
356	713.0	714.0
357	715.0	716.0
358	718.0	717.0
359	720.0	719.0
360	721.0	722.0
361	723.0	724.0
362	726.0	725.0
363	728.0	727.0
364	729.0	730.0
365	731.0	732.0
366	734.0	733.0
367	736.0	735.0
368	738.0	737.0
369	740.0	739.0
370	742.0	741.0
371	743.0	744.0
372	745.0	746.0
373	747.0	748.0
374	749.0	750.0
375	752.0	751.0
376	753.0	754.0
377	756.0	755.0
378	757.0	758.0
379	759.0	760.0
380	761.0	762.0
381	764.0	763.0
382	765.0	766.0
383	767.0	768.0
384	770.0	769.0
385	771.0	772.0
386	773.0	774.0
387	776.0	775.0
388	777.0	778.0
389	779.0	780.0
390	781.0	782.0
391	784.0	783.0
392	785.0	786.0
393	787.0	788.0
394	790.0	789.0
395	791.0	792.0
396	793.0	794.0
397	796.0	795.0
398	798.0	797.0
399	799.0	800.0
400	801.0	802.0
401	804.0	803.0
402	805.0	806.0
403	808.0	807.0
404	809.0	810.0
405	811.0	812.0
406	813.0	814.0
407	816.0	815.0
408	817.0	818.0
409	819.0	820.0
410	822.0	821.0
411	823.0	824.0
412	825.0	826.0
413	827.0	828.0
414	830.0	829.0
415	831.0	832.0
416	833.0	834.0
417	835.0	836.0
418	838.0	837.0
419	840.0	839.0
420	841.0	842.0
421	844.0	843.0
422	846.0	845.0
423	847.0	848.0
424	849.0	850.0
425	851.0	852.0
426	854.0	853.0
427	856.0	855.0
428	858.0	857.0
429	859.0	860.0
430	862.0	861.0
431	863.0	864.0
432	866.0	865.0
433	868.0	867.0
434	869.0	870.0
435	871.0	872.0
436	873.0	874.0
437	876.0	875.0
438	877.0	878.0
439	879.0	880.0
440	882.0	881.0
441	883.0	884.0
442	886.0	885.0
443	888.0	887.0
444	889.0	890.0
445	891.0	892.0
446	893.0	894.0
447	895.0	896.0
448	898.0	897.0
449	899.0	900.0
450	902.0	901.0
451	904.0	903.0
452	905.0	906.0
453	907.0	908.0
454	909.0	910.0
455	911.0	912.0
456	914.0	913.0
457	915.0	916.0
458	918.0	917.0
459	920.0	919.0
460	921.0	922.0
461	923.0	924.0
462	925.0	926.0
463	927.0	928.0
464	929.0	930.0
465	932.0	931.0
466	933.0	934.0
467	936.0	935.0
468	938.0	937.0
469	940.0	939.0
470	941.0	942.0
471	944.0	943.0
472	946.0	945.0
473	948.0	947.0
474	950.0	949.0
475	951.0	952.0
476	953.0	954.0
477	956.0	955.0
478	958.0	957.0
479	959.0	960.0
480	961.0	962.0
481	964.0	963.0
482	966.0	965.0
483	967.0	968.0
484	970.0	969.0
485	971.0	972.0
486	974.0	973.0
487	976.0	975.0
488	977.0	978.0
489	980.0	979.0
490	981.0	982.0
491	983.0	984.0
492	986.0	985.0
493	988.0	987.0
494	989.0	990.0
495	992.0	991.0
496	994.0	993.0
497	996.0	995.0
498	998.0	997.0
499	999.0	1000.0
500	1001.0	1002.0
501	1004.0	1003.0
502	1005.0	1006.0
503	1007.0	1008.0
504	1009.0	1010.0
505	1012.0	1011.0
506	1014.0	1013.0
507	1015.0	1016.0
508	1018.0	1017.0
509	1020.0	1019.0
510	1021.0	1022.0
511	1023.0	1024.0
512	1026.0	1025.0
513	1027.0	1028.0
514	1029.0	1030.0
515	1031.0	1032.0
516	1033.0	1034.0
517	1036.0	1035.0
518	1038.0	1037.0
519	1039.0	1040.0
520	1041.0	1042.0
521	1043.0	1044.0
522	1045.0	1046.0
523	1048.0	1047.0
524	1050.0	1049.0
525	1052.0	1051.0
526	1053.0	1054.0
527	1055.0	1056.0
528	1058.0	1057.0
529	1059.0	1060.0
530	1061.0	1062.0
531	1064.0	1063.0
532	1066.0	1065.0
533	1068.0	1067.0
534	1069.0	1070.0
535	1071.0	1072.0
536	1073.0	1074.0
537	1075.0	1076.0
538	1077.0	1078.0
539	1080.0	1079.0
540	1082.0	1081.0
541	1084.0	1083.0
542	1085.0	1086.0
543	1087.0	1088.0
544	1089.0	1090.0
545	1091.0	1092.0
546	1093.0	1094.0
547	1095.0	1096.0
548	1098.0	1097.0
549	1099.0	1100.0
550	1101.0	1102.0
551	1104.0	1103.0
552	1105.0	1106.0
553	1108.0	1107.0
554	1109.0	1110.0
555	1111.0	1112.0
556	1114.0	1113.0
557	1115.0	1116.0
558	1118.0	1117.0
559	1120.0	1119.0
560	1121.0	1122.0
561	1124.0	1123.0
562	1126.0	1125.0
563	1127.0	1128.0
564	1130.0	1129.0
565	1132.0	1131.0
566	1134.0	1133.0
567	1136.0	1135.0
568	1137.0	1138.0
569	1139.0	1140.0
570	1141.0	1142.0
571	1143.0	1144.0
572	1146.0	1145.0
573	1148.0	1147.0
574	1149.0	1150.0
575	1151.0	1152.0
576	1153.0	1154.0
577	1155.0	1156.0
578	1158.0	1157.0
579	1159.0	1160.0
580	1162.0	1161.0
581	1164.0	1163.0
582	1165.0	1166.0
583	1167.0	1168.0
584	1170.0	1169.0
585	1172.0	1171.0
586	1174.0	1173.0
587	1176.0	1175.0
588	1178.0	1177.0
589	1179.0	1180.0
590	1182.0	1181.0
591	1183.0	1184.0
592	1186.0	1185.0
593	1188.0	1187.0
594	1189.0	1190.0
595	1191.0	1192.0
596	1193.0	1194.0
597	1195.0	1196.0
598	1197.0	1198.0
599	1200.0	1199.0
600	1202.0	1201.0
601	1203.0	1204.0
602	1205.0	1206.0
603	1207.0	1208.0
604	1210.0	1209.0
605	1212.0	1211.0
606	1214.0	1213.0
607	1215.0	1216.0
608	1218.0	1217.0
609	1219.0	1220.0
610	1221.0	1222.0
611	1224.0	1223.0
612	1225.0	1226.0
613	1227.0	1228.0
614	1229.0	1230.0
615	1232.0	1231.0
616	1234.0	1233.0
617	1235.0	1236.0
618	1238.0	1237.0
619	1239.0	1240.0
620	1242.0	1241.0
621	1243.0	1244.0
622	1246.0	1245.0
623	1248.0	1247.0
624	1250.0	1249.0
625	1252.0	1251.0
626	1253.0	1254.0
627	1255.0	1256.0
628	1258.0	1257.0
629	1260.0	1259.0
630	1261.0	1262.0
631	1263.0	1264.0
632	1266.0	1265.0
633	1267.0	1268.0
634	1269.0	1270.0
635	1271.0	1272.0
636	1273.0	1274.0
637	1275.0	1276.0
638	1278.0	1277.0
639	1279.0	1280.0
640	1281.0	1282.0
641	1284.0	1283.0
642	1285.0	1286.0
643	1288.0	1287.0
644	1289.0	1290.0
645	1291.0	1292.0
646	1294.0	1293.0
647	1296.0	1295.0
648	1298.0	1297.0
649	1299.0	1300.0
650	1301.0	1302.0
651	1303.0	1304.0
652	1305.0	1306.0
653	1308.0	1307.0
654	1310.0	1309.0
655	1311.0	1312.0
656	1314.0	1313.0
657	1316.0	1315.0
658	1318.0	1317.0
659	1319.0	1320.0
660	1322.0	1321.0
661	1323.0	1324.0
662	1325.0	1326.0
663	1328.0	1327.0
664	1330.0	1329.0
665	1332.0	1331.0
666	1333.0	1334.0
667	1335.0	1336.0
668	1337.0	1338.0
669	1340.0	1339.0
670	1342.0	1341.0
671	1344.0	1343.0
672	1345.0	1346.0
673	1347.0	1348.0
674	1349.0	1350.0
675	1351.0	1352.0
676	1353.0	1354.0
677	1356.0	1355.0
678	1357.0	1358.0
679	1359.0	1360.0
680	1361.0	1362.0
681	1363.0	1364.0
682	1365.0	1366.0
683	1367.0	1368.0
684	1370.0	1369.0
685	1372.0	1371.0
686	1374.0	1373.0
687	1376.0	1375.0
688	1378.0	1377.0
689	1380.0	1379.0
690	1382.0	1381.0
691	1384.0	1383.0
692	1386.0	1385.0
693	1387.0	1388.0
694	1390.0	1389.0
695	1392.0	1391.0
696	1393.0	1394.0
697	1395.0	1396.0
698	1398.0	1397.0
699	1399.0	1400.0
700	1401.0	1402.0
701	1403.0	1404.0
702	1405.0	1406.0
703	1407.0	1408.0
704	1410.0	1409.0
705	1412.0	1411.0
706	1413.0	1414.0
707	1415.0	1416.0
708	1418.0	1417.0
709	1419.0	1420.0
710	1422.0	1421.0
711	1424.0	1423.0
712	1425.0	1426.0
713	1428.0	1427.0
714	1430.0	1429.0
715	1432.0	1431.0
716	1434.0	1433.0
717	1435.0	1436.0
718	1438.0	1437.0
719	1439.0	1440.0
720	1441.0	1442.0
721	1443.0	1444.0
722	1445.0	1446.0
723	1448.0	1447.0
724	1450.0	1449.0
725	1451.0	1452.0
726	1454.0	1453.0
727	1456.0	1455.0
728	1458.0	1457.0
729	1459.0	1460.0
730	1462.0	1461.0
731	1463.0	1464.0
732	1465.0	1466.0
733	1467.0	1468.0
734	1469.0	1470.0
735	1471.0	1472.0
736	1474.0	1473.0
737	1475.0	1476.0
738	1478.0	1477.0
739	1479.0	1480.0
740	1481.0	1482.0
741	1483.0	1484.0
742	1486.0	1485.0
743	1488.0	1487.0
744	1490.0	1489.0
745	1491.0	1492.0
746	1494.0	1493.0
747	1496.0	1495.0
748	1498.0	1497.0
749	1499.0	1500.0
750	1501.0	1502.0
751	1503.0	1504.0
752	1505.0	1506.0
753	1507.0	1508.0
754	1509.0	1510.0
755	1512.0	1511.0
756	1514.0	1513.0
757	1516.0	1515.0
758	1518.0	1517.0
759	1519.0	1520.0
760	1522.0	1521.0
761	1523.0	1524.0
762	1525.0	1526.0
763	1527.0	1528.0
764	1529.0	1530.0
765	1531.0	1532.0
766	1533.0	1534.0
767	1535.0	1536.0
768	1537.0	1538.0
769	1539.0	1540.0
770	1541.0	1542.0
771	1543.0	1544.0
772	1545.0	1546.0
773	1548.0	1547.0
774	1550.0	1549.0
775	1551.0	1552.0
776	1553.0	1554.0
777	1555.0	1556.0
778	1557.0	1558.0
779	1560.0	1559.0
780	1561.0	1562.0
781	1563.0	1564.0
782	1565.0	1566.0
783	1567.0	1568.0
784	1569.0	1570.0
785	1571.0	1572.0
786	1574.0	1573.0
787	1575.0	1576.0
788	1578.0	1577.0
789	1579.0	1580.0
790	1581.0	1582.0
791	1584.0	1583.0
792	1585.0	1586.0
793	1587.0	1588.0
794	1589.0	1590.0
795	1591.0	1592.0
796	1594.0	1593.0
797	1596.0	1595.0
798	1598.0	1597.0
799	1600.0	1599.0
800	1601.0	1602.0
801	1603.0	1604.0
802	1606.0	1605.0
803	1608.0	1607.0
804	1610.0	1609.0
805	1611.0	1612.0
806	1614.0	1613.0
807	1616.0	1615.0
808	1617.0	1618.0
809	1620.0	1619.0
810	1621.0	1622.0
811	1623.0	1624.0
812	1626.0	1625.0
813	1628.0	1627.0
814	1630.0	1629.0
815	1632.0	1631.0
816	1633.0	1634.0
817	1636.0	1635.0
818	1637.0	1638.0
819	1639.0	1640.0
820	1642.0	1641.0
821	1644.0	1643.0
822	1645.0	1646.0
823	1648.0	1647.0
824	1650.0	1649.0
825	1652.0	1651.0
826	1653.0	1654.0
827	1656.0	1655.0
828	1658.0	1657.0
829	1660.0	1659.0
830	1661.0	1662.0
831	1664.0	1663.0
832	1665.0	1666.0
833	1668.0	1667.0
834	1669.0	1670.0
835	1671.0	1672.0
836	1673.0	1674.0
837	1676.0	1675.0
838	1678.0	1677.0
839	1679.0	1680.0
840	1682.0	1681.0
841	1684.0	1683.0
842	1686.0	1685.0
843	1687.0	1688.0
844	1689.0	1690.0
845	1692.0	1691.0
846	1694.0	1693.0
847	1696.0	1695.0
848	1698.0	1697.0
849	1700.0	1699.0
850	1701.0	1702.0
851	1703.0	1704.0
852	1705.0	1706.0
853	1708.0	1707.0
854	1709.0	1710.0
855	1711.0	1712.0
856	1714.0	1713.0
857	1716.0	1715.0
858	1717.0	1718.0
859	1719.0	1720.0
860	1721.0	1722.0
861	1723.0	1724.0
862	1725.0	1726.0
863	1727.0	1728.0
864	1729.0	1730.0
865	1732.0	1731.0
866	1733.0	1734.0
867	1735.0	1736.0
868	1737.0	1738.0
869	1739.0	1740.0
870	1742.0	1741.0
871	1744.0	1743.0
872	1745.0	1746.0
873	1748.0	1747.0
874	1750.0	1749.0
875	1752.0	1751.0
876	1754.0	1753.0
877	1756.0	1755.0
878	1758.0	1757.0
879	1759.0	1760.0
880	1762.0	1761.0
881	1763.0	1764.0
882	1766.0	1765.0
883	1767.0	1768.0
884	1769.0	1770.0
885	1771.0	1772.0
886	1773.0	1774.0
887	1775.0	1776.0
888	1777.0	1778.0
889	1780.0	1779.0
890	1782.0	1781.0
891	1784.0	1783.0
892	1786.0	1785.0
893	1788.0	1787.0
894	1789.0	1790.0
895	1792.0	1791.0
896	1793.0	1794.0
897	1796.0	1795.0
898	1797.0	1798.0
899	1800.0	1799.0
900	1802.0	1801.0
901	1803.0	1804.0
902	1806.0	1805.0
903	1808.0	1807.0
904	1809.0	1810.0
905	1812.0	1811.0
906	1813.0	1814.0
907	1815.0	1816.0
908	1817.0	1818.0
909	1819.0	1820.0
910	1822.0	1821.0
911	1824.0	1823.0
912	1826.0	1825.0
913	1828.0	1827.0
914	1829.0	1830.0
915	1831.0	1832.0
916	1833.0	1834.0
917	1836.0	1835.0
918	1838.0	1837.0
919	1840.0	1839.0
920	1842.0	1841.0
921	1843.0	1844.0
922	1845.0	1846.0
923	1847.0	1848.0
924	1849.0	1850.0
925	1851.0	1852.0
926	1853.0	1854.0
927	1856.0	1855.0
928	1857.0	1858.0
929	1859.0	1860.0
930	1861.0	1862.0
931	1863.0	1864.0
932	1865.0	1866.0
933	1867.0	1868.0
934	1869.0	1870.0
935	1871.0	1872.0
936	1874.0	1873.0
937	1876.0	1875.0
938	1878.0	1877.0
939	1879.0	1880.0
940	1882.0	1881.0
941	1884.0	1883.0
942	1886.0	1885.0
943	1887.0	1888.0
944	1890.0	1889.0
945	1891.0	1892.0
946	1894.0	1893.0
947	1896.0	1895.0
948	1898.0	1897.0
949	1900.0	1899.0
950	1902.0	1901.0
951	1904.0	1903.0
952	1905.0	1906.0
953	1908.0	1907.0
954	1909.0	1910.0
955	1911.0	1912.0
956	1913.0	1914.0
957	1915.0	1916.0
958	1918.0	1917.0
959	1919.0	1920.0
960	1922.0	1921.0
961	1924.0	1923.0
962	1926.0	1925.0
963	1928.0	1927.0
964	1929.0	1930.0
965	1931.0	1932.0
966	1933.0	1934.0
967	1936.0	1935.0
968	1938.0	1937.0
969	1940.0	1939.0
970	1941.0	1942.0
971	1944.0	1943.0
972	1945.0	1946.0
973	1947.0	1948.0
974	1949.0	1950.0
975	1951.0	1952.0
976	1954.0	1953.0
977	1955.0	1956.0
978	1957.0	1958.0
979	1959.0	1960.0
980	1962.0	1961.0
981	1964.0	1963.0
982	1966.0	1965.0
983	1967.0	1968.0
984	1969.0	1970.0
985	1972.0	1971.0
986	1973.0	1974.0
987	1975.0	1976.0
988	1978.0	1977.0
989	1979.0	1980.0
990	1981.0	1982.0
991	1984.0	1983.0
992	1985.0	1986.0
993	1988.0	1987.0
994	1990.0	1989.0
995	1991.0	1992.0
996	1994.0	1993.0
997	1996.0	1995.0
998	1997.0	1998.0
999	1999.0	2000.0
1000	2002.0	2001.0
1001	2003.0	2004.0
1002	2005.0	2006.0
1003	2008.0	2007.0
1004	2010.0	2009.0
1005	2012.0	2011.0
1006	2014.0	2013.0
1007	2015.0	2016.0
1008	2018.0	2017.0
1009	2020.0	2019.0
1010	2021.0	2022.0
1011	2024.0	2023.0
1012	2026.0	2025.0
1013	2027.0	2028.0
1014	2029.0	2030.0
1015	2031.0	2032.0
1016	2034.0	2033.0
1017	2035.0	2036.0
1018	2037.0	2038.0
1019	2039.0	2040.0
1020	2042.0	2041.0
1021	2044.0	2043.0
1022	2045.0	2046.0
1023	2048.0	2047.0
1024	2050.0	2049.0
1025	2051.0	2052.0
1026	2054.0	2053.0
1027	2056.0	2055.0
1028	2058.0	2057.0
1029	2059.0	2060.0
1030	2061.0	2062.0
1031	2063.0	2064.0
1032	2066.0	2065.0
1033	2067.0	2068.0
1034	2069.0	2070.0
1035	2072.0	2071.0
1036	2074.0	2073.0
1037	2076.0	2075.0
1038	2077.0	2078.0
1039	2079.0	2080.0
1040	2081.0	2082.0
1041	2084.0	2083.0
1042	2085.0	2086.0
1043	2088.0	2087.0
1044	2090.0	2089.0
1045	2091.0	2092.0
1046	2094.0	2093.0
1047	2095.0	2096.0
1048	2097.0	2098.0
1049	2099.0	2100.0
1050	2102.0	2101.0
1051	2104.0	2103.0
1052	2106.0	2105.0
1053	2108.0	2107.0
1054	2109.0	2110.0
1055	2112.0	2111.0
1056	2113.0	2114.0
1057	2116.0	2115.0
1058	2117.0	2118.0
1059	2120.0	2119.0
1060	2122.0	2121.0
1061	2124.0	2123.0
1062	2125.0	2126.0
1063	2128.0	2127.0
1064	2130.0	2129.0
1065	2131.0	2132.0
1066	2134.0	2133.0
1067	2136.0	2135.0
1068	2137.0	2138.0
1069	2140.0	2139.0
1070	2141.0	2142.0
1071	2144.0	2143.0
1072	2146.0	2145.0
1073	2148.0	2147.0
1074	2149.0	2150.0
1075	2152.0	2151.0
1076	2153.0	2154.0
1077	2156.0	2155.0
1078	2158.0	2157.0
1079	2159.0	2160.0
1080	2161.0	2162.0
1081	2164.0	2163.0
1082	2165.0	2166.0
1083	2168.0	2167.0
1084	2170.0	2169.0
1085	2171.0	2172.0
1086	2174.0	2173.0
1087	2175.0	2176.0
1088	2177.0	2178.0
1089	2179.0	2180.0
1090	2182.0	2181.0
1091	2183.0	2184.0
1092	2186.0	2185.0
1093	2187.0	2188.0
1094	2189.0	2190.0
1095	2192.0	2191.0
1096	2193.0	2194.0
1097	2195.0	2196.0
1098	2198.0	2197.0
1099	2200.0	2199.0
1100	2202.0	2201.0
1101	2203.0	2204.0
1102	2205.0	2206.0
1103	2208.0	2207.0
1104	2210.0	2209.0
1105	2211.0	2212.0
1106	2213.0	2214.0
1107	2215.0	2216.0
1108	2217.0	2218.0
1109	2220.0	2219.0
1110	2222.0	2221.0
1111	2224.0	2223.0
1112	2225.0	2226.0
1113	2228.0	2227.0
1114	2229.0	2230.0
1115	2231.0	2232.0
1116	2233.0	2234.0
1117	2236.0	2235.0
1118	2237.0	2238.0
1119	2240.0	2239.0
1120	2241.0	2242.0
1121	2244.0	2243.0
1122	2245.0	2246.0
1123	2247.0	2248.0
1124	2250.0	2249.0
1125	2251.0	2252.0
1126	2254.0	2253.0
1127	2255.0	2256.0
1128	2258.0	2257.0
1129	2260.0	2259.0
1130	2261.0	2262.0
1131	2264.0	2263.0
1132	2265.0	2266.0
1133	2267.0	2268.0
1134	2270.0	2269.0
1135	2272.0	2271.0
1136	2274.0	2273.0
1137	2276.0	2275.0
1138	2278.0	2277.0
1139	2279.0	2280.0
1140	2282.0	2281.0
1141	2283.0	2284.0
1142	2286.0	2285.0
1143	2288.0	2287.0
1144	2290.0	2289.0
1145	2291.0	2292.0
1146	2294.0	2293.0
1147	2295.0	2296.0
1148	2298.0	2297.0
1149	2299.0	2300.0
1150	2302.0	2301.0
1151	2303.0	2304.0
1152	2306.0	2305.0
1153	2308.0	2307.0
1154	2309.0	2310.0
1155	2312.0	2311.0
1156	2313.0	2314.0
1157	2316.0	2315.0
1158	2317.0	2318.0
1159	2320.0	2319.0
1160	2322.0	2321.0
1161	2324.0	2323.0
1162	2325.0	2326.0
1163	2328.0	2327.0
1164	2329.0	2330.0
1165	2331.0	2332.0
1166	2334.0	2333.0
1167	2335.0	2336.0
1168	2338.0	2337.0
1169	2339.0	2340.0
1170	2342.0	2341.0
1171	2343.0	2344.0
1172	2346.0	2345.0
1173	2347.0	2348.0
1174	2349.0	2350.0
1175	2352.0	2351.0
1176	2354.0	2353.0
1177	2356.0	2355.0
1178	2358.0	2357.0
1179	2359.0	2360.0
1180	2361.0	2362.0
1181	2363.0	2364.0
1182	2365.0	2366.0
1183	2367.0	2368.0
1184	2369.0	2370.0
1185	2371.0	2372.0
1186	2373.0	2374.0
1187	2375.0	2376.0
1188	2378.0	2377.0
1189	2380.0	2379.0
1190	2381.0	2382.0
1191	2384.0	2383.0
1192	2386.0	2385.0
1193	2387.0	2388.0
1194	2390.0	2389.0
1195	2391.0	2392.0
1196	2393.0	2394.0
1197	2396.0	2395.0
1198	2398.0	2397.0
1199	2399.0	2400.0
1200	2401.0	2402.0
1201	2404.0	2403.0
1202	2406.0	2405.0
1203	2407.0	2408.0
1204	2409.0	2410.0
1205	2411.0	2412.0
1206	2414.0	2413.0
1207	2416.0	2415.0
1208	2418.0	2417.0
1209	2419.0	2420.0
1210	2422.0	2421.0
1211	2424.0	2423.0
1212	2426.0	2425.0
1213	2427.0	2428.0
1214	2429.0	2430.0
1215	2431.0	2432.0
1216	2434.0	2433.0
1217	2435.0	2436.0
1218	2437.0	2438.0
1219	2440.0	2439.0
1220	2442.0	2441.0
1221	2444.0	2443.0
1222	2446.0	2445.0
1223	2448.0	2447.0
1224	2450.0	2449.0
1225	2452.0	2451.0
1226	2454.0	2453.0
1227	2455.0	2456.0
