"","CaseID","contest_no","Education","Gender","Country of Origin","Reason for Application","Job","Job Experience","Job Plans","Prior Entry","Language Skills","Chosen_Immigrant","ethnocentrism","profile","LangPos","PriorPos"
"25",7,3,"two-year college","female","Iraq","reunite with family","financial analyst","1-2 years","no plans to look for work","many times as tourist","fluent English",0,8.333336,1,3,6
"26",7,3,"high school","male","France","reunite with family","child care provider","none","no plans to look for work","many times as tourist","tried English but unable",1,8.333336,2,3,6
"27",7,4,"college degree","female","Poland","reunite with family","waiter","5+ years","contract with employer","six months with family","fluent English",1,8.333336,1,3,6
"28",7,4,"high school","female","Poland","reunite with family","child care provider","1-2 years","contract with employer","never","tried English but unable",0,8.333336,2,3,6
"29",7,5,"4th grade","female","Mexico","seek better job","teacher","none","interviews with employer","never","broken English",1,8.333336,1,3,6
"30",7,5,"graduate degree","male","India","reunite with family","doctor","3-5 years","interviews with employer","once w/o authorization","used interpreter",0,8.333336,2,3,6
"31",8,1,"college degree","male","Iraq","seek better job","computer programmer","none","interviews with employer","once as tourist","broken English",1,51.666668,1,1,3
"32",8,1,"no formal","male","Iraq","reunite with family","waiter","1-2 years","no plans to look for work","once as tourist","tried English but unable",0,51.666668,2,1,3
"33",8,2,"two-year college","male","China","reunite with family","computer programmer","1-2 years","interviews with employer","many times as tourist","used interpreter",1,51.666668,1,1,3
"34",8,2,"college degree","female","Sudan","escape persecution","construction worker","3-5 years","no plans to look for work","once w/o authorization","tried English but unable",0,51.666668,2,1,3
"35",8,3,"two-year college","female","France","reunite with family","financial analyst","none","will look for work","many times as tourist","used interpreter",1,51.666668,1,1,3
"36",8,3,"8th grade","male","Somalia","seek better job","nurse","5+ years","no plans to look for work","many times as tourist","fluent English",0,51.666668,2,1,3
"37",8,4,"two-year college","male","Iraq","seek better job","computer programmer","3-5 years","no plans to look for work","never","used interpreter",0,51.666668,1,1,3
"38",8,4,"graduate degree","female","Iraq","seek better job","nurse","none","contract with employer","never","used interpreter",1,51.666668,2,1,3
"39",8,5,"no formal","male","Sudan","seek better job","construction worker","3-5 years","no plans to look for work","once w/o authorization","fluent English",0,51.666668,1,1,3
"40",8,5,"high school","female","Somalia","escape persecution","nurse","3-5 years","interviews with employer","six months with family","used interpreter",1,51.666668,2,1,3
"41",9,1,"college degree","male","India","seek better job","computer programmer","3-5 years","no plans to look for work","never","used interpreter",0,0,1,1,8
"42",9,1,"two-year college","male","India","seek better job","computer programmer","1-2 years","will look for work","once as tourist","broken English",1,0,2,1,8
"43",9,2,"graduate degree","female","Germany","seek better job","research scientist","1-2 years","interviews with employer","many times as tourist","broken English",1,0,1,1,8
"44",9,2,"two-year college","female","India","seek better job","financial analyst","1-2 years","will look for work","six months with family","used interpreter",0,0,2,1,8
"45",9,3,"high school","female","Germany","reunite with family","waiter","none","interviews with employer","six months with family","fluent English",1,0,1,1,8
"46",9,3,"high school","male","Poland","reunite with family","waiter","1-2 years","no plans to look for work","never","broken English",0,0,2,1,8
"47",9,4,"graduate degree","male","Sudan","escape persecution","gardener","3-5 years","contract with employer","once as tourist","fluent English",1,0,1,1,8
"48",9,4,"graduate degree","male","France","seek better job","doctor","1-2 years","no plans to look for work","once w/o authorization","used interpreter",0,0,2,1,8
"49",9,5,"4th grade","female","Iraq","escape persecution","construction worker","3-5 years","will look for work","six months with family","used interpreter",0,0,1,1,8
"50",9,5,"8th grade","male","France","reunite with family","gardener","none","interviews with employer","once as tourist","tried English but unable",1,0,2,1,8
"51",10,1,"graduate degree","male","France","reunite with family","construction worker","none","will look for work","many times as tourist","used interpreter",1,0,1,7,9
"52",10,1,"two-year college","female","Sudan","escape persecution","nurse","3-5 years","will look for work","once as tourist","used interpreter",0,0,2,7,9
"53",10,2,"college degree","male","India","seek better job","financial analyst","1-2 years","no plans to look for work","never","used interpreter",1,0,1,7,9
"54",10,2,"two-year college","male","Iraq","seek better job","gardener","5+ years","no plans to look for work","once w/o authorization","tried English but unable",0,0,2,7,9
"55",10,3,"4th grade","female","Germany","reunite with family","teacher","none","will look for work","many times as tourist","used interpreter",1,0,1,7,9
"56",10,3,"4th grade","female","Sudan","reunite with family","waiter","1-2 years","interviews with employer","six months with family","fluent English",0,0,2,7,9
"57",10,4,"4th grade","male","Mexico","seek better job","gardener","1-2 years","interviews with employer","many times as tourist","used interpreter",0,0,1,7,9
"58",10,4,"two-year college","male","France","seek better job","nurse","3-5 years","will look for work","never","broken English",1,0,2,7,9
"59",10,5,"two-year college","male","Philippines","reunite with family","research scientist","none","interviews with employer","once w/o authorization","used interpreter",0,0,1,7,9
"60",10,5,"4th grade","male","Philippines","seek better job","janitor","5+ years","contract with employer","once w/o authorization","broken English",1,0,2,7,9
"61",11,1,"graduate degree","male","Somalia","seek better job","research scientist","none","interviews with employer","many times as tourist","used interpreter",0,10,1,5,9
"62",11,1,"graduate degree","male","Germany","reunite with family","doctor","3-5 years","interviews with employer","once w/o authorization","fluent English",1,10,2,5,9
"63",11,2,"no formal","female","China","reunite with family","nurse","3-5 years","will look for work","six months with family","tried English but unable",1,10,1,5,9
"64",11,2,"4th grade","male","Mexico","seek better job","nurse","5+ years","interviews with employer","many times as tourist","fluent English",0,10,2,5,9
"65",11,3,"college degree","male","Sudan","escape persecution","gardener","3-5 years","contract with employer","never","tried English but unable",1,10,1,5,9
"66",11,3,"college degree","male","France","seek better job","computer programmer","5+ years","interviews with employer","never","tried English but unable",0,10,2,5,9
"67",11,4,"8th grade","male","Somalia","reunite with family","construction worker","none","no plans to look for work","many times as tourist","used interpreter",0,10,1,5,9
"68",11,4,"high school","male","Somalia","seek better job","construction worker","none","will look for work","once w/o authorization","fluent English",1,10,2,5,9
"69",11,5,"high school","female","China","seek better job","gardener","none","contract with employer","six months with family","fluent English",0,10,1,5,9
"70",11,5,"two-year college","female","Mexico","seek better job","doctor","3-5 years","will look for work","many times as tourist","fluent English",1,10,2,5,9
"71",12,1,"college degree","female","Sudan","reunite with family","nurse","none","no plans to look for work","once w/o authorization","fluent English",1,20,1,9,2
"72",12,1,"4th grade","male","India","seek better job","janitor","5+ years","contract with employer","never","used interpreter",0,20,2,9,2
"73",12,2,"college degree","female","China","reunite with family","computer programmer","3-5 years","no plans to look for work","six months with family","used interpreter",1,20,1,9,2
"74",12,2,"college degree","female","Somalia","seek better job","waiter","5+ years","contract with employer","never","tried English but unable",0,20,2,9,2
"75",12,3,"college degree","male","Mexico","seek better job","doctor","3-5 years","will look for work","many times as tourist","fluent English",1,20,1,9,2
"76",12,3,"college degree","male","Somalia","escape persecution","teacher","3-5 years","interviews with employer","once as tourist","fluent English",0,20,2,9,2
"77",12,4,"college degree","male","Mexico","reunite with family","child care provider","1-2 years","interviews with employer","once as tourist","used interpreter",0,20,1,9,2
"78",12,4,"two-year college","male","Iraq","seek better job","teacher","none","no plans to look for work","six months with family","tried English but unable",1,20,2,9,2
"79",12,5,"two-year college","female","Iraq","reunite with family","child care provider","5+ years","contract with employer","six months with family","tried English but unable",1,20,1,9,2
"80",12,5,"graduate degree","male","Philippines","reunite with family","construction worker","none","contract with employer","once w/o authorization","tried English but unable",0,20,2,9,2
"81",13,1,"college degree","male","Mexico","seek better job","gardener","5+ years","contract with employer","once as tourist","used interpreter",0,33.333332,1,2,1
"82",13,1,"college degree","female","Philippines","seek better job","research scientist","3-5 years","will look for work","never","fluent English",1,33.333332,2,2,1
"83",13,2,"graduate degree","male","Iraq","seek better job","gardener","none","no plans to look for work","never","fluent English",0,33.333332,1,2,1
"84",13,2,"college degree","male","Sudan","escape persecution","computer programmer","5+ years","contract with employer","six months with family","fluent English",1,33.333332,2,2,1
"85",13,3,"high school","female","Mexico","reunite with family","janitor","5+ years","will look for work","six months with family","broken English",0,33.333332,1,2,1
"86",13,3,"high school","female","France","seek better job","teacher","none","interviews with employer","never","used interpreter",1,33.333332,2,2,1
"87",13,4,"8th grade","female","Poland","seek better job","child care provider","3-5 years","will look for work","six months with family","tried English but unable",0,33.333332,1,2,1
"88",13,4,"graduate degree","male","Sudan","seek better job","waiter","1-2 years","contract with employer","many times as tourist","fluent English",1,33.333332,2,2,1
"89",13,5,"two-year college","female","Poland","seek better job","gardener","3-5 years","contract with employer","never","broken English",0,33.333332,1,2,1
"90",13,5,"two-year college","male","Somalia","seek better job","research scientist","none","interviews with employer","six months with family","broken English",1,33.333332,2,2,1
"91",14,1,"no formal","male","China","reunite with family","construction worker","1-2 years","will look for work","once w/o authorization","fluent English",1,0,1,2,4
"92",14,1,"college degree","female","China","reunite with family","nurse","5+ years","no plans to look for work","never","tried English but unable",0,0,2,2,4
"93",14,2,"high school","female","Somalia","seek better job","teacher","3-5 years","interviews with employer","many times as tourist","fluent English",1,0,1,2,4
"94",14,2,"high school","male","France","seek better job","teacher","1-2 years","no plans to look for work","six months with family","fluent English",0,0,2,2,4
"95",14,3,"graduate degree","female","France","reunite with family","nurse","none","no plans to look for work","once as tourist","broken English",0,0,1,2,4
"96",14,3,"high school","female","Somalia","seek better job","waiter","3-5 years","contract with employer","once as tourist","used interpreter",1,0,2,2,4
"97",14,4,"college degree","female","Germany","seek better job","computer programmer","none","contract with employer","never","fluent English",1,0,1,2,4
"98",14,4,"two-year college","female","Philippines","seek better job","teacher","1-2 years","interviews with employer","never","broken English",0,0,2,2,4
"99",14,5,"two-year college","female","Iraq","seek better job","doctor","5+ years","interviews with employer","many times as tourist","fluent English",1,0,1,2,4
"100",14,5,"high school","male","Poland","seek better job","child care provider","none","contract with employer","once as tourist","used interpreter",0,0,2,2,4
"101",15,1,"high school","male","Poland","seek better job","gardener","5+ years","contract with employer","many times as tourist","tried English but unable",1,-6.666664,1,4,8
"102",15,1,"college degree","male","Philippines","reunite with family","waiter","none","no plans to look for work","never","fluent English",0,-6.666664,2,4,8
"103",15,2,"4th grade","female","Sudan","escape persecution","waiter","3-5 years","will look for work","many times as tourist","fluent English",1,-6.666664,1,4,8
"104",15,2,"two-year college","male","Somalia","seek better job","construction worker","none","no plans to look for work","once as tourist","broken English",0,-6.666664,2,4,8
"105",15,3,"8th grade","male","Germany","seek better job","janitor","none","will look for work","once w/o authorization","broken English",0,-6.666664,1,4,8
"106",15,3,"high school","female","Germany","reunite with family","construction worker","3-5 years","interviews with employer","six months with family","fluent English",1,-6.666664,2,4,8
"107",15,4,"no formal","male","Somalia","escape persecution","construction worker","1-2 years","no plans to look for work","many times as tourist","tried English but unable",1,-6.666664,1,4,8
"108",15,4,"no formal","male","Mexico","reunite with family","teacher","5+ years","no plans to look for work","once w/o authorization","tried English but unable",0,-6.666664,2,4,8
"109",15,5,"high school","male","China","seek better job","teacher","5+ years","no plans to look for work","once w/o authorization","used interpreter",0,-6.666664,1,4,8
"110",15,5,"graduate degree","male","France","seek better job","waiter","none","interviews with employer","six months with family","fluent English",1,-6.666664,2,4,8
"111",16,1,"high school","male","China","reunite with family","nurse","1-2 years","no plans to look for work","six months with family","used interpreter",1,6.666664,1,6,5
"112",16,1,"no formal","female","Mexico","seek better job","janitor","1-2 years","no plans to look for work","never","used interpreter",0,6.666664,2,6,5
"113",16,2,"no formal","male","Iraq","seek better job","janitor","3-5 years","interviews with employer","never","fluent English",0,6.666664,1,6,5
"114",16,2,"high school","male","Germany","seek better job","construction worker","3-5 years","no plans to look for work","six months with family","broken English",1,6.666664,2,6,5
"115",16,3,"high school","male","France","seek better job","waiter","none","no plans to look for work","once w/o authorization","fluent English",0,6.666664,1,6,5
"116",16,3,"8th grade","male","Germany","seek better job","teacher","3-5 years","no plans to look for work","six months with family","tried English but unable",1,6.666664,2,6,5
"117",16,4,"two-year college","female","Germany","reunite with family","nurse","1-2 years","contract with employer","six months with family","used interpreter",1,6.666664,1,6,5
"118",16,4,"two-year college","male","France","reunite with family","teacher","1-2 years","interviews with employer","many times as tourist","fluent English",0,6.666664,2,6,5
"119",16,5,"high school","male","Poland","reunite with family","waiter","3-5 years","will look for work","once w/o authorization","tried English but unable",0,6.666664,1,6,5
"120",16,5,"graduate degree","female","Sudan","escape persecution","financial analyst","5+ years","contract with employer","six months with family","used interpreter",1,6.666664,2,6,5
"121",17,1,"graduate degree","male","Poland","reunite with family","construction worker","1-2 years","interviews with employer","once as tourist","used interpreter",0,23.333336,1,2,3
"122",17,1,"college degree","male","France","reunite with family","nurse","none","interviews with employer","once w/o authorization","fluent English",1,23.333336,2,2,3
"123",17,2,"graduate degree","female","India","reunite with family","financial analyst","none","will look for work","many times as tourist","broken English",0,23.333336,1,2,3
"124",17,2,"college degree","male","India","reunite with family","nurse","none","will look for work","six months with family","fluent English",1,23.333336,2,2,3
"125",17,3,"no formal","female","Sudan","seek better job","teacher","1-2 years","contract with employer","many times as tourist","broken English",1,23.333336,1,2,3
"126",17,3,"no formal","male","Sudan","reunite with family","teacher","none","no plans to look for work","six months with family","fluent English",0,23.333336,2,2,3
"127",17,4,"8th grade","female","India","reunite with family","nurse","1-2 years","will look for work","many times as tourist","fluent English",0,23.333336,1,2,3
"128",17,4,"graduate degree","male","China","reunite with family","child care provider","1-2 years","no plans to look for work","once as tourist","fluent English",1,23.333336,2,2,3
"129",17,5,"no formal","female","Germany","reunite with family","waiter","5+ years","will look for work","once as tourist","used interpreter",0,23.333336,1,2,3
"130",17,5,"8th grade","male","Philippines","reunite with family","teacher","1-2 years","no plans to look for work","once as tourist","used interpreter",1,23.333336,2,2,3
"131",18,1,"8th grade","female","Philippines","reunite with family","construction worker","1-2 years","will look for work","six months with family","tried English but unable",0,0,1,4,9
"132",18,1,"high school","female","Iraq","reunite with family","child care provider","5+ years","will look for work","once w/o authorization","broken English",1,0,2,4,9
"133",18,2,"graduate degree","female","India","reunite with family","computer programmer","5+ years","will look for work","many times as tourist","used interpreter",0,0,1,4,9
"134",18,2,"graduate degree","female","Somalia","escape persecution","teacher","5+ years","will look for work","six months with family","used interpreter",1,0,2,4,9
"135",18,3,"high school","female","Poland","seek better job","child care provider","3-5 years","will look for work","many times as tourist","fluent English",1,0,1,4,9
"136",18,3,"two-year college","female","Sudan","escape persecution","nurse","5+ years","no plans to look for work","once as tourist","used interpreter",0,0,2,4,9
"137",18,4,"two-year college","female","Poland","seek better job","doctor","3-5 years","interviews with employer","once w/o authorization","fluent English",1,0,1,4,9
"138",18,4,"no formal","male","Poland","seek better job","construction worker","none","contract with employer","never","broken English",0,0,2,4,9
"139",18,5,"two-year college","female","Philippines","reunite with family","janitor","1-2 years","contract with employer","never","used interpreter",1,0,1,4,9
"140",18,5,"high school","female","Philippines","seek better job","child care provider","none","contract with employer","once w/o authorization","tried English but unable",0,0,2,4,9
"141",20,1,"high school","female","India","reunite with family","child care provider","none","contract with employer","once as tourist","fluent English",1,0,1,1,8
"142",20,1,"4th grade","female","Sudan","seek better job","janitor","3-5 years","will look for work","never","tried English but unable",0,0,2,1,8
"143",20,2,"high school","female","Poland","reunite with family","teacher","none","will look for work","once as tourist","fluent English",1,0,1,1,8
"144",20,2,"high school","female","Mexico","seek better job","nurse","1-2 years","interviews with employer","many times as tourist","used interpreter",0,0,2,1,8
"145",20,3,"no formal","male","Iraq","reunite with family","construction worker","none","will look for work","many times as tourist","tried English but unable",0,0,1,1,8
"146",20,3,"8th grade","female","Philippines","reunite with family","nurse","5+ years","no plans to look for work","many times as tourist","broken English",1,0,2,1,8
"147",20,4,"4th grade","female","Poland","reunite with family","nurse","3-5 years","contract with employer","six months with family","tried English but unable",0,0,1,1,8
"148",20,4,"two-year college","female","France","seek better job","research scientist","none","will look for work","once w/o authorization","fluent English",1,0,2,1,8
"149",20,5,"high school","female","Poland","reunite with family","janitor","3-5 years","interviews with employer","once w/o authorization","broken English",0,0,1,1,8
"150",20,5,"high school","female","Iraq","escape persecution","teacher","none","will look for work","many times as tourist","fluent English",1,0,2,1,8
"151",21,1,"no formal","female","Philippines","reunite with family","teacher","1-2 years","contract with employer","once as tourist","fluent English",1,30,1,8,9
"152",21,1,"college degree","male","Philippines","reunite with family","gardener","1-2 years","contract with employer","once as tourist","broken English",0,30,2,8,9
"153",21,2,"4th grade","female","France","reunite with family","nurse","3-5 years","no plans to look for work","once w/o authorization","broken English",0,30,1,8,9
"154",21,2,"college degree","male","Philippines","seek better job","computer programmer","none","interviews with employer","once as tourist","used interpreter",1,30,2,8,9
"155",21,3,"8th grade","female","Somalia","seek better job","construction worker","1-2 years","contract with employer","once as tourist","used interpreter",1,30,1,8,9
"156",21,3,"no formal","male","Philippines","seek better job","janitor","none","will look for work","once w/o authorization","fluent English",0,30,2,8,9
"157",21,4,"college degree","male","Iraq","seek better job","financial analyst","5+ years","no plans to look for work","once as tourist","fluent English",0,30,1,8,9
"158",21,4,"two-year college","female","India","seek better job","gardener","5+ years","contract with employer","many times as tourist","fluent English",1,30,2,8,9
"159",21,5,"no formal","female","Iraq","seek better job","nurse","5+ years","interviews with employer","once w/o authorization","fluent English",0,30,1,8,9
"160",21,5,"graduate degree","female","China","seek better job","janitor","1-2 years","will look for work","once w/o authorization","fluent English",1,30,2,8,9
"161",22,1,"8th grade","female","Sudan","reunite with family","child care provider","1-2 years","no plans to look for work","six months with family","broken English",0,5,1,9,2
"162",22,1,"college degree","female","Mexico","reunite with family","child care provider","1-2 years","interviews with employer","once w/o authorization","used interpreter",1,5,2,9,2
"163",22,2,"two-year college","male","Somalia","escape persecution","gardener","none","no plans to look for work","never","used interpreter",0,5,1,9,2
"164",22,2,"graduate degree","male","Iraq","escape persecution","gardener","none","interviews with employer","six months with family","broken English",1,5,2,9,2
"165",22,3,"two-year college","female","Somalia","seek better job","janitor","none","interviews with employer","never","used interpreter",1,5,1,9,2
"166",22,3,"8th grade","female","China","seek better job","child care provider","3-5 years","no plans to look for work","never","tried English but unable",0,5,2,9,2
"167",22,4,"no formal","male","China","seek better job","gardener","1-2 years","interviews with employer","once as tourist","used interpreter",1,5,1,9,2
"168",22,4,"no formal","female","Mexico","seek better job","child care provider","5+ years","will look for work","six months with family","fluent English",0,5,2,9,2
"169",22,5,"two-year college","male","Poland","reunite with family","computer programmer","1-2 years","no plans to look for work","once w/o authorization","fluent English",0,5,1,9,2
"170",22,5,"8th grade","female","Poland","reunite with family","waiter","5+ years","no plans to look for work","never","broken English",1,5,2,9,2
"171",24,1,"graduate degree","male","Iraq","seek better job","child care provider","none","interviews with employer","once w/o authorization","tried English but unable",0,16.666668,1,2,9
"172",24,1,"high school","male","Mexico","reunite with family","construction worker","none","interviews with employer","many times as tourist","used interpreter",1,16.666668,2,2,9
"173",24,2,"graduate degree","female","India","seek better job","financial analyst","5+ years","contract with employer","many times as tourist","tried English but unable",0,16.666668,1,2,9
"174",24,2,"college degree","female","Somalia","escape persecution","doctor","3-5 years","interviews with employer","once as tourist","tried English but unable",1,16.666668,2,2,9
"175",24,3,"4th grade","female","Philippines","seek better job","nurse","none","no plans to look for work","six months with family","fluent English",1,16.666668,1,2,9
"176",24,3,"two-year college","male","Mexico","reunite with family","child care provider","5+ years","interviews with employer","once w/o authorization","tried English but unable",0,16.666668,2,2,9
"177",24,4,"college degree","male","France","reunite with family","research scientist","none","will look for work","never","fluent English",1,16.666668,1,2,9
"178",24,4,"high school","male","Mexico","reunite with family","nurse","1-2 years","interviews with employer","once w/o authorization","used interpreter",0,16.666668,2,2,9
"179",24,5,"8th grade","female","Iraq","reunite with family","child care provider","none","no plans to look for work","six months with family","tried English but unable",0,16.666668,1,2,9
"180",24,5,"graduate degree","female","Sudan","escape persecution","gardener","3-5 years","no plans to look for work","six months with family","broken English",1,16.666668,2,2,9
"181",27,1,"4th grade","male","India","seek better job","nurse","1-2 years","contract with employer","once w/o authorization","broken English",1,31.666666,1,4,2
"182",27,1,"two-year college","male","Somalia","escape persecution","teacher","1-2 years","contract with employer","once as tourist","tried English but unable",0,31.666666,2,4,2
"183",27,2,"4th grade","female","Mexico","reunite with family","waiter","5+ years","no plans to look for work","six months with family","fluent English",1,31.666666,1,4,2
"184",27,2,"college degree","female","China","escape persecution","child care provider","3-5 years","will look for work","six months with family","broken English",0,31.666666,2,4,2
"185",27,3,"no formal","male","Mexico","seek better job","waiter","1-2 years","will look for work","once as tourist","fluent English",0,31.666666,1,4,2
"186",27,3,"4th grade","female","Sudan","escape persecution","waiter","5+ years","contract with employer","once as tourist","fluent English",1,31.666666,2,4,2
"187",27,4,"high school","female","Mexico","seek better job","janitor","1-2 years","will look for work","never","used interpreter",0,31.666666,1,4,2
"188",27,4,"8th grade","female","Iraq","seek better job","child care provider","3-5 years","contract with employer","six months with family","used interpreter",1,31.666666,2,4,2
"189",27,5,"graduate degree","female","Sudan","escape persecution","research scientist","none","contract with employer","never","used interpreter",1,31.666666,1,4,2
"190",27,5,"graduate degree","female","China","escape persecution","computer programmer","3-5 years","no plans to look for work","once w/o authorization","tried English but unable",0,31.666666,2,4,2
"191",28,1,"high school","female","Germany","reunite with family","gardener","3-5 years","contract with employer","many times as tourist","used interpreter",1,5,1,9,2
"192",28,1,"no formal","male","Sudan","reunite with family","child care provider","5+ years","contract with employer","once w/o authorization","tried English but unable",0,5,2,9,2
"193",28,2,"8th grade","male","Germany","seek better job","waiter","5+ years","interviews with employer","once as tourist","tried English but unable",0,5,1,9,2
"194",28,2,"4th grade","male","Sudan","reunite with family","waiter","3-5 years","will look for work","many times as tourist","fluent English",1,5,2,9,2
"195",28,3,"8th grade","female","France","seek better job","construction worker","5+ years","interviews with employer","never","fluent English",0,5,1,9,2
"196",28,3,"graduate degree","female","France","reunite with family","waiter","3-5 years","contract with employer","many times as tourist","broken English",1,5,2,9,2
"197",28,4,"two-year college","male","Somalia","escape persecution","teacher","none","no plans to look for work","once w/o authorization","used interpreter",0,5,1,9,2
"198",28,4,"8th grade","male","China","seek better job","waiter","1-2 years","no plans to look for work","never","used interpreter",1,5,2,9,2
"199",28,5,"4th grade","male","India","seek better job","child care provider","1-2 years","will look for work","once as tourist","fluent English",1,5,1,9,2
"200",28,5,"8th grade","female","France","seek better job","waiter","none","no plans to look for work","many times as tourist","fluent English",0,5,2,9,2
"201",30,1,"4th grade","female","Poland","seek better job","construction worker","5+ years","interviews with employer","six months with family","used interpreter",0,76.666664,1,7,6
"202",30,1,"two-year college","female","Sudan","reunite with family","computer programmer","3-5 years","will look for work","never","broken English",1,76.666664,2,7,6
"203",30,2,"graduate degree","female","Somalia","escape persecution","financial analyst","1-2 years","interviews with employer","once as tourist","broken English",1,76.666664,1,7,6
"204",30,2,"high school","male","India","seek better job","child care provider","5+ years","no plans to look for work","once as tourist","tried English but unable",0,76.666664,2,7,6
"205",30,3,"8th grade","male","Somalia","seek better job","teacher","5+ years","will look for work","six months with family","used interpreter",1,76.666664,1,7,6
"206",30,3,"graduate degree","female","Germany","reunite with family","doctor","3-5 years","interviews with employer","never","broken English",0,76.666664,2,7,6
"207",30,4,"two-year college","female","France","seek better job","computer programmer","3-5 years","no plans to look for work","never","used interpreter",1,76.666664,1,7,6
"208",30,4,"graduate degree","male","Iraq","reunite with family","construction worker","3-5 years","no plans to look for work","once as tourist","used interpreter",0,76.666664,2,7,6
"209",30,5,"graduate degree","female","Germany","reunite with family","research scientist","none","contract with employer","six months with family","broken English",0,76.666664,1,7,6
"210",30,5,"4th grade","female","France","seek better job","child care provider","3-5 years","contract with employer","never","fluent English",1,76.666664,2,7,6
"211",31,1,"college degree","male","France","reunite with family","janitor","3-5 years","interviews with employer","many times as tourist","broken English",0,20,1,9,1
"212",31,1,"two-year college","male","India","reunite with family","financial analyst","3-5 years","no plans to look for work","once w/o authorization","fluent English",1,20,2,9,1
"213",31,2,"high school","male","Somalia","seek better job","nurse","none","interviews with employer","many times as tourist","fluent English",1,20,1,9,1
"214",31,2,"graduate degree","male","Philippines","seek better job","financial analyst","3-5 years","contract with employer","once w/o authorization","tried English but unable",0,20,2,9,1
"215",31,3,"two-year college","male","China","escape persecution","financial analyst","5+ years","contract with employer","many times as tourist","used interpreter",0,20,1,9,1
"216",31,3,"4th grade","female","China","seek better job","nurse","1-2 years","no plans to look for work","many times as tourist","tried English but unable",1,20,2,9,1
"217",31,4,"no formal","female","France","seek better job","nurse","none","no plans to look for work","many times as tourist","tried English but unable",1,20,1,9,1
"218",31,4,"4th grade","male","China","escape persecution","child care provider","5+ years","contract with employer","six months with family","broken English",0,20,2,9,1
"219",31,5,"no formal","female","Mexico","reunite with family","waiter","1-2 years","will look for work","many times as tourist","fluent English",1,20,1,9,1
"220",31,5,"high school","female","India","reunite with family","construction worker","5+ years","will look for work","once w/o authorization","broken English",0,20,2,9,1
"221",32,1,"two-year college","female","Philippines","seek better job","waiter","3-5 years","interviews with employer","six months with family","used interpreter",0,NA,1,9,8
